ADJUSTMENTS/START INJECTION
AMPRENTE
CALITATE
COAJA DE PORTOCALA
DEFORMATE
EXCES DE LAC
FIR DE MATERIAL
GAZE
IMPURITATI
INCLUZIUNI
LAC FISURAT
LIPSA LAC
LOVITE
LUPE
PETE
PIESE ARSE
PIESE CAZUTE IN MASINA
PIESE FISURATE
PIESE INCOMPLETE
PUNCTE DE LAC
PUNCTE NEGRE
ULEI PE PIESE
URME DE VENTUZE
VIRGULE
ZGARIATE
